id,osm_id,name,dtype,distance,people_local,people_total
19,774,Набережная (вместе),car,250,0,0
19,774,Набережная (вместе),car,27250,0,1152758
14,25642999,Первомайский сквер,direct,17750,0,1040299
14,25642999,Первомайский сквер,direct,18250,0,1040299
14,25642999,Первомайский сквер,direct,22500,0,1135365
14,25642999,Первомайский сквер,direct,17500,0,1040299
14,25642999,Первомайский сквер,direct,25750,0,1153603
14,25642999,Первомайский сквер,direct,26500,0,1153603
14,25642999,Первомайский сквер,direct,26000,0,1153603
14,25642999,Первомайский сквер,direct,25500,0,1153603
14,25642999,Первомайский сквер,direct,18000,0,1040299
14,25642999,Первомайский сквер,direct,26250,0,1153603
19,774,Набережная (вместе),car,28000,0,1153599
19,774,Набережная (вместе),car,28250,0,1153599
19,774,Набережная (вместе),car,28500,0,1153599
19,774,Набережная (вместе),car,28750,0,1153599
19,774,Набережная (вместе),car,29500,0,1155198
19,774,Набережная (вместе),car,29750,0,1155198
19,774,Набережная (вместе),car,30000,0,1155198
19,774,Набережная (вместе),car,30250,0,1155198
19,774,Набережная (вместе),car,30500,0,1155198
19,774,Набережная (вместе),car,30750,0,1155198
19,774,Набережная (вместе),car,31000,0,1155198
19,774,Набережная (вместе),car,31250,0,1155198
19,774,Набережная (вместе),car,31500,0,1155198
25,25657738,Берёзовая роща,direct,26250,0,1153603
25,25657738,Берёзовая роща,direct,18000,0,1040299
25,25657738,Берёзовая роща,direct,27250,0,1153603
25,25657738,Берёзовая роща,direct,26750,0,1153603
25,25657738,Берёзовая роща,direct,18500,0,1040299
25,25657738,Берёзовая роща,direct,26500,0,1153603
25,25657738,Берёзовая роща,direct,20000,0,1047514
25,25657738,Берёзовая роща,direct,19000,0,1040299
25,25657738,Берёзовая роща,direct,17500,0,1040299
25,25657738,Берёзовая роща,direct,27500,0,1153603
25,25657738,Берёзовая роща,direct,27750,0,1153603
25,25657738,Берёзовая роща,direct,18250,0,1040299
25,25657738,Берёзовая роща,direct,27000,0,1153603
25,25657738,Берёзовая роща,direct,18750,0,1040299
25,25657738,Берёзовая роща,direct,17750,0,1040299
19,774,Набережная (вместе),car,31750,0,1155198
19,774,Набережная (вместе),car,32000,0,1155198
19,774,Набережная (вместе),car,32250,0,1155198
19,774,Набережная (вместе),car,32500,0,1155198
25,25657738,Берёзовая роща,car,24750,0,1046372
32,591,Ботанический сад СО РАН,direct,250,0,0
32,591,Ботанический сад СО РАН,direct,500,0,0
32,591,Ботанический сад СО РАН,direct,750,0,0
25,25657738,Берёзовая роща,car,32750,0,1153603
25,25657738,Берёзовая роща,car,33000,0,1153603
27,51871600,Павловский сквер,direct,31000,0,1153603
27,51871600,Павловский сквер,direct,21500,0,1040303
27,51871600,Павловский сквер,direct,21000,0,1040303
27,51871600,Павловский сквер,direct,30500,0,1153603
27,51871600,Павловский сквер,direct,21750,0,1040303
27,51871600,Павловский сквер,direct,21250,0,1040303
27,51871600,Павловский сквер,direct,29500,0,1153603
27,51871600,Павловский сквер,direct,19750,0,1040180
27,51871600,Павловский сквер,direct,30000,0,1153603
32,591,Ботанический сад СО РАН,direct,11000,0,115022
27,51871600,Павловский сквер,direct,30250,0,1153603
27,51871600,Павловский сквер,direct,19500,0,1040180
32,591,Ботанический сад СО РАН,direct,6500,0,71226
27,51871600,Павловский сквер,direct,20750,0,1040303
27,51871600,Павловский сквер,direct,29750,0,1153603
32,591,Ботанический сад СО РАН,direct,6750,0,71226
32,591,Ботанический сад СО РАН,direct,10750,0,115022
27,51871600,Павловский сквер,direct,30750,0,1153603
32,591,Ботанический сад СО РАН,direct,6000,0,71226
32,591,Ботанический сад СО РАН,direct,4000,0,19833
32,591,Ботанический сад СО РАН,direct,10500,0,115022
32,591,Ботанический сад СО РАН,direct,8500,0,82742
27,51871600,Павловский сквер,direct,18000,0,1027726
27,51871600,Павловский сквер,direct,20500,0,1040303
32,591,Ботанический сад СО РАН,direct,4250,0,19833
27,51871600,Павловский сквер,direct,22000,0,1040303
32,591,Ботанический сад СО РАН,direct,2750,0,19362
32,591,Ботанический сад СО РАН,direct,6250,0,71226
25,25657738,Берёзовая роща,car,33250,0,1153603
25,25657738,Берёзовая роща,car,33500,0,1153603
18,25642909,Центральный парк,car,30500,0,1152762
18,25642909,Центральный парк,car,31000,0,1153603
32,591,Ботанический сад СО РАН,direct,45000,0,1155198
32,591,Ботанический сад СО РАН,direct,41500,0,1155198
32,591,Ботанический сад СО РАН,direct,46000,0,1155198
32,591,Ботанический сад СО РАН,direct,41250,0,1155198
32,591,Ботанический сад СО РАН,direct,42500,0,1155198
32,591,Ботанический сад СО РАН,direct,37000,0,1130168
32,591,Ботанический сад СО РАН,direct,43000,0,1155198
32,591,Ботанический сад СО РАН,direct,41000,0,1155198
32,591,Ботанический сад СО РАН,direct,45250,0,1155198
32,591,Ботанический сад СО РАН,direct,35000,0,1125397
32,591,Ботанический сад СО РАН,direct,37500,0,1130183
32,591,Ботанический сад СО РАН,direct,44500,0,1155198
32,591,Ботанический сад СО РАН,direct,44750,0,1155198
32,591,Ботанический сад СО РАН,direct,43500,0,1155198
32,591,Ботанический сад СО РАН,direct,44000,0,1155198
32,591,Ботанический сад СО РАН,direct,42250,0,1155198
32,591,Ботанический сад СО РАН,direct,45500,0,1155198
32,591,Ботанический сад СО РАН,direct,44250,0,1155198
32,591,Ботанический сад СО РАН,direct,42000,0,1155198
32,591,Ботанический сад СО РАН,direct,46250,0,1155198
32,591,Ботанический сад СО РАН,direct,42750,0,1155198
32,591,Ботанический сад СО РАН,direct,45750,0,1155198
32,591,Ботанический сад СО РАН,direct,43250,0,1155198
32,591,Ботанический сад СО РАН,direct,43750,0,1155198
32,591,Ботанический сад СО РАН,direct,41750,0,1155198
18,25642909,Центральный парк,car,31250,0,1153603
18,25642909,Центральный парк,car,31500,0,1153603
18,25642909,Центральный парк,car,31750,0,1153603
19,774,Набережная (вместе),car,500,202,202
19,774,Набережная (вместе),car,750,819,1021
19,774,Набережная (вместе),car,1000,2152,3173
19,774,Набережная (вместе),car,1250,1316,4489
19,774,Набережная (вместе),car,1500,3226,7715
19,774,Набережная (вместе),car,1750,1475,9190
19,774,Набережная (вместе),car,2000,6891,16016
19,774,Набережная (вместе),car,2250,6922,22776
19,774,Набережная (вместе),car,2500,8052,30822
19,774,Набережная (вместе),car,2750,6436,37258
19,774,Набережная (вместе),car,3000,7494,44752
19,774,Набережная (вместе),car,3250,8023,52775
19,774,Набережная (вместе),car,3500,9658,62433
19,774,Набережная (вместе),car,3750,16580,79013
19,774,Набережная (вместе),car,4000,14348,93361
19,774,Набережная (вместе),car,4250,15081,108442
19,774,Набережная (вместе),car,4500,27774,136190
19,774,Набережная (вместе),car,4750,27032,163222
19,774,Набережная (вместе),car,5000,23809,187031
19,774,Набережная (вместе),car,5250,26954,213859
19,774,Набережная (вместе),car,5500,33124,246983
19,774,Набережная (вместе),car,5750,33620,280603
19,774,Набережная (вместе),car,6000,32994,313597
19,774,Набережная (вместе),car,6250,26333,339786
19,774,Набережная (вместе),car,6500,31383,371169
19,774,Набережная (вместе),car,6750,38889,410058
19,774,Набережная (вместе),car,7000,33656,443573
19,774,Набережная (вместе),car,7250,43838,487411
19,774,Набережная (вместе),car,7500,35943,523318
19,774,Набережная (вместе),car,7750,32542,555860
19,774,Набережная (вместе),car,8000,21842,577504
19,774,Набережная (вместе),car,8250,24085,601589
19,774,Набережная (вместе),car,8500,19402,620974
8,53003964,Тимирязевский сквер,direct,22000,0,1040303
8,53003964,Тимирязевский сквер,direct,26000,0,1135369
8,53003964,Тимирязевский сквер,direct,20500,0,1040303
8,53003964,Тимирязевский сквер,direct,20750,0,1040303
8,53003964,Тимирязевский сквер,direct,29750,0,1153603
